Date,Open,High,Low,Close,Adj Close,Volume
2009-05-18,1.333900,1.341900,1.271100,1.277700,1.277700,0
2009-05-25,1.277000,1.297400,1.237900,1.248400,1.248400,0
2009-06-01,1.248300,1.263400,1.209900,1.259600,1.259600,0
2009-06-08,1.259800,1.276700,1.214000,1.235000,1.235000,0
2009-06-15,1.234800,1.273100,1.227300,1.245800,1.245800,0
2009-06-22,1.245600,1.283400,1.236100,1.240400,1.240400,0
2009-06-29,1.240400,1.264500,1.226000,1.259200,1.259200,0
2009-07-06,1.258800,1.294200,1.243900,1.281100,1.281100,0
2009-07-13,1.281100,1.298000,1.238700,1.242700,1.242700,0
2009-07-20,1.227600,1.228700,1.222300,1.225600,1.225600,0
2009-07-27,1.215000,1.227600,1.191600,1.192500,1.192500,0
2009-08-03,1.187500,1.196300,1.182800,1.195300,1.195300,0
2009-08-10,1.195200,1.205400,1.183800,1.205000,1.205000,0
2009-08-17,1.217400,1.217400,1.192500,1.192700,1.192700,0
2009-08-24,1.195100,1.209000,1.186200,1.187700,1.187700,0
2009-08-31,1.185100,1.211200,1.171000,1.172100,1.172100,0
2009-09-07,1.168300,1.169000,1.156300,1.160200,1.160200,0
2009-09-14,1.160300,1.160900,1.143700,1.153700,1.153700,0
2009-09-21,1.158200,1.161300,1.137900,1.155000,1.155000,0
2009-09-28,1.144800,1.154900,1.130700,1.152900,1.152900,0
2009-10-05,1.140000,1.140000,1.104000,1.104900,1.104900,0
2009-10-12,1.102000,1.104200,1.081500,1.091900,1.091900,0
2009-10-19,1.077800,1.087200,1.076000,1.085100,1.085100,0
2009-10-26,1.085200,1.122300,1.077700,1.115300,1.115300,0
2009-11-02,1.114600,1.121200,1.082400,1.086200,1.086200,0
2009-11-09,1.086400,1.087000,1.067300,1.069300,1.069300,0
2009-11-16,1.069100,1.103100,1.063000,1.092400,1.092400,0
2009-11-23,1.091700,1.117400,1.072500,1.095800,1.095800,0
2009-11-30,1.096100,1.097800,1.072800,1.094100,1.094100,0
2009-12-07,1.093300,1.108500,1.088100,1.098200,1.098200,0
2009-12-14,1.097100,1.134700,1.089900,1.124600,1.124600,0
2009-12-21,1.124200,1.144300,1.122800,1.131200,1.131200,0
2009-12-28,1.130600,1.132500,1.109800,1.114300,1.114300,0
2010-01-04,1.114300,1.118300,1.074100,1.074200,1.074200,0
2010-01-11,1.074500,1.090300,1.072000,1.084400,1.084400,0
2010-01-18,1.084200,1.112600,1.077700,1.106400,1.106400,0
2010-01-25,1.106300,1.138200,1.099700,1.128300,1.128300,0
2010-02-01,1.128900,1.165000,1.120100,1.155100,1.155100,0
2010-02-08,1.154800,1.160400,1.121100,1.126200,1.126200,0
2010-02-15,1.125900,1.129600,1.106300,1.110500,1.110500,0
2010-02-22,1.110100,1.135800,1.102200,1.112600,1.112600,0
2010-03-01,1.112300,1.118700,1.098300,1.100000,1.100000,0
2010-03-08,1.098700,1.104000,1.087600,1.089600,1.089600,0
2010-03-15,1.089700,1.098900,1.080900,1.093400,1.093400,0
2010-03-22,1.093800,1.110600,1.087300,1.106200,1.106200,0
2010-03-29,1.106300,1.106400,1.085000,1.086700,1.086700,0
2010-04-05,1.086500,1.090700,1.065000,1.067200,1.067200,0
2010-04-12,1.067200,1.086000,1.065500,1.085000,1.085000,0
2010-04-19,1.084700,1.091700,1.070900,1.079500,1.079500,0
2010-04-26,1.079200,1.094100,1.072300,1.081300,1.081300,0
2010-05-03,1.081700,1.141200,1.078200,1.117100,1.117100,0
2010-05-10,1.117000,1.130100,1.101600,1.128900,1.128900,0
2010-05-17,1.129100,1.237700,1.129000,1.206800,1.206800,0
2010-05-24,1.206900,1.238900,1.169500,1.185200,1.185200,0
2010-05-31,1.184700,1.225000,1.173600,1.223500,1.223500,0
2010-06-07,1.224300,1.236900,1.171000,1.171500,1.171500,0
2010-06-14,1.171100,1.175100,1.133100,1.136500,1.136500,0
2010-06-21,1.136900,1.162900,1.128800,1.146000,1.146000,0
2010-06-28,1.146300,1.199600,1.139700,1.187600,1.187600,0
2010-07-05,1.187600,1.201900,1.137400,1.140500,1.140500,0
2010-07-12,1.140500,1.155300,1.127300,1.155300,1.155300,0
2010-07-19,1.155600,1.158000,1.114500,1.117700,1.117700,0
2010-07-26,1.117900,1.122600,1.102500,1.104500,1.104500,0
2010-08-02,1.104400,1.104500,1.084100,1.092700,1.092700,0
2010-08-09,1.088900,1.121200,1.086200,1.114100,1.114100,0
2010-08-16,1.118100,1.130600,1.101400,1.121800,1.121800,0
2010-08-23,1.125600,1.139500,1.112800,1.130100,1.130100,0
2010-08-30,1.107200,1.128200,1.089900,1.098900,1.098900,0
2010-09-06,1.092300,1.099600,1.078000,1.083400,1.083400,0
2010-09-13,1.076200,1.076400,1.055600,1.068200,1.068200,0
2010-09-20,1.066800,1.068000,1.040300,1.052800,1.052800,0
2010-09-27,1.040800,1.045600,1.026300,1.036900,1.036900,0
2010-10-04,1.029200,1.047700,1.008300,1.017800,1.017800,0
2010-10-11,1.010500,1.023400,1.000600,1.006700,1.006700,0
2010-10-18,1.011000,1.034500,1.004900,1.021600,1.021600,0
2010-10-25,1.017100,1.033900,1.002600,1.028000,1.028000,0
2010-11-01,1.015000,1.017300,0.982220,0.984540,0.984540,0
2010-11-08,0.983860,1.017200,0.982800,1.003600,1.003600,0
2010-11-15,1.011100,1.027700,1.009000,1.009500,1.009500,0
2010-11-22,1.009800,1.039800,1.004500,1.023200,1.023200,0
2010-11-29,1.034100,1.047800,1.011600,1.023600,1.023600,0
2010-12-06,1.007700,1.025000,1.003300,1.015900,1.015900,0
2010-12-13,1.016000,1.016800,0.998100,1.010700,1.010700,0
2010-12-20,1.012000,1.013600,0.994870,0.995720,0.995720,0
2010-12-27,0.999600,1.002300,0.976850,0.984470,0.984470,0
2011-01-03,0.978370,1.008900,0.978370,1.007000,1.007000,0
2011-01-10,1.004600,1.018000,0.998050,1.001800,1.001800,0
2011-01-17,1.009200,1.016600,0.992480,1.014300,1.014300,0
2011-01-24,1.010200,1.013500,0.999800,1.010000,1.010000,0
2011-01-31,1.013400,1.013400,0.980390,0.985600,0.985600,0
2011-02-07,0.987070,1.003400,0.981260,0.998600,0.998600,0
2011-02-14,0.998230,1.003300,0.986360,0.987950,0.987950,0
2011-02-21,0.986000,1.001200,0.984040,0.989310,0.989310,0
2011-02-28,0.986000,0.991960,0.980300,0.987360,0.987360,0
2011-03-07,0.985620,1.002500,0.981840,0.998100,0.998100,0
2011-03-14,0.990690,1.024200,0.988830,1.016100,1.016100,0
2011-03-21,1.002300,1.004500,0.971350,0.980200,0.980200,0
2011-03-28,0.976370,0.979610,0.962740,0.967680,0.967680,0
2011-04-04,0.961820,0.971730,0.948230,0.955930,0.955930,0
2011-04-11,0.946520,0.962230,0.945090,0.952560,0.952560,0
2011-04-18,0.946440,0.957370,0.928190,0.930320,0.930320,0
2011-04-25,0.929590,0.936220,0.911990,0.914160,0.914160,0
2011-05-02,0.912380,0.943310,0.908010,0.942860,0.942860,0
2011-05-09,0.933220,0.946580,0.918330,0.937510,0.937510,0
2011-05-16,0.946610,0.951660,0.934230,0.937210,0.937210,0
2011-05-23,0.941030,0.957490,0.933100,0.941110,0.941110,0
2011-05-30,0.933710,0.944290,0.929450,0.937120,0.937120,0
2011-06-06,0.930050,0.949060,0.928750,0.941000,0.941000,0
2011-06-13,0.949130,0.953740,0.933450,0.946790,0.946790,0
2011-06-20,0.942570,0.956210,0.939160,0.949130,0.949130,0
