Back to Contents,Data 1: U.S. Refinery and Blender Net Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,MTTRPUS1,MNGRPUS1,M_EPL2_YPR_NUS_MBBL,MENRPUS1,MPARP_NUS_1,MBURPUS1,MIIRPUS1,M_EPLOLE_YPR_NUS_MBBL,MEYRPUS1,MPLRPUS1,MBYRPUS1,MIYRPUS1,MLPRPUS1,METRPUS1,MPRRPUS1,MBNRPUS1,MBIRPUS1,MGFRPUS1,MGRRPUS1,MG1RP_NUS_1,M_EPM0RO_YPR_NUS_MBBL,MG4RP_NUS_1,MG5RP_NUS_1,M_EPM0CAL55_YPR_NUS_MBBL,M_EPM0CAG55_YPR_NUS_MBBL,MG6RP_NUS_1,MGARPUS1,MKJRPUS1,MKERPUS1,MDIRPUS1,MD0RP_NUS_1,MD1RP_NUS_1,MDGRPUS1,MRERPUS1,MRLRPUS1,MRMRPUS1,MRGRPUS1,MPCRPUS1,MNFRPUS1,MOTRPUS1,MNSRPUS1,MLURPUS1,MWXRPUS1,MCKRPUS1,MCMRPUS1,MCORPUS1,MAPRPUS1,MSGRPUS1,MMSRPUS1,MPGRPUS1,
1972,,,,,,,,,,,,,,,,,,2298775,,,,,,,,,,,,976665,,,,292519,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,2382418,,,,,,,,,,,,1029343,,,,354597,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,2320488,,,,,,,,,,,,974025,,,,390491,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,2378960,,,,,,,,,,,,968650,,,,450957,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,2502711,,,,,,,,,,,,1070032,,,,503953,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,2566300,,,,,,,,,,,,1196143,,,,640140,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,2615968,,,,,,,,,,,,1155969,,,,608634,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,2495396,,,,,,,,,,,,1150594,,,,615579,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,2376188,,,,,,,,,,,,973981,,,,578426,,,,,,,,,,,,,,,,,
1981,5106374,114802,,,,,,,,,,,114802,3218,97333,9754,904,2336182,,,,,,,,,10902,282787,43521,953732,,,,482088,,,,,81026,131749,25652,60561,6943,142430,,,123983,206399,33189,,
1982,4887757,98528,,,,,,,,,,,98528,1470,92747,3023,30,2312610,,,,,,,,,8177,283799,41937,951242,,,,390377,,,,,54816,97253,18428,51642,5135,149538,,,120016,202147,28913,,
1983,4795353,119613,,,,,,,,,,,119613,5637,97251,14519,400,2313354,,,,,,,,,8050,298175,39977,896504,,,,310863,,,,,51028,92735,19893,53808,5535,153305,,,135659,200707,21161,,
1984,5006527,132700,,,,,,,,,,,132700,7552,102423,22671,54,2361909,,,,,,,,,9107,336521,41808,980727,,,,326189,,,,,42942,85690,19704,58253,5388,160655,,,141339,204713,21079,,
1985,5018612,142642,,,,,,,,,,,142642,5106,107695,30078,-237,2342981,,,,,,,,,7919,358753,34475,980351,,,,321997,,,,,38007,91975,19129,53081,5506,166019,,,146332,213181,21125,,
