DATE,FLEXCPIM679SFRBATL
5/1/2014,2.2453279
6/1/2014,1.575861
7/1/2014,0.84676037
8/1/2014,-1.3696235
9/1/2014,-2.9444108
10/1/2014,-4.831379
11/1/2014,-7.5518861
12/1/2014,-10.65664
1/1/2015,-16.741621
2/1/2015,-11.292397
3/1/2015,-5.2113533
4/1/2015,2.5018648
5/1/2015,3.6838025
6/1/2015,3.8423072
7/1/2015,5.7639694
8/1/2015,0.89444166
9/1/2015,-6.5124432
10/1/2015,-8.1654714
11/1/2015,-7.2623575
12/1/2015,-4.6724393
1/1/2016,-5.9970315
2/1/2016,-8.9494839
3/1/2016,-3.7156717
4/1/2016,1.7923524
5/1/2016,6.9553874
6/1/2016,6.3884637
7/1/2016,0.39813064
8/1/2016,-1.0530194
9/1/2016,-0.84992028
10/1/2016,4.3180706
11/1/2016,3.8666758
12/1/2016,2.992051
1/1/2017,4.062569
2/1/2017,4.760367
3/1/2017,2.560858
4/1/2017,0.1545062
5/1/2017,-2.379539
6/1/2017,-2.74588
7/1/2017,-5.290417
8/1/2017,0.6375914
9/1/2017,8.385419
10/1/2017,9.261401
11/1/2017,7.949019
12/1/2017,1.843784
1/1/2018,4.766642
2/1/2018,4.413516
3/1/2018,2.529879
4/1/2018,1.783742
5/1/2018,1.669605
6/1/2018,2.722495
7/1/2018,0.9353129
8/1/2018,0.2564903
9/1/2018,1.071011
10/1/2018,3.793527
11/1/2018,-0.8206192
12/1/2018,-3.92294
1/1/2019,-8.397917
2/1/2019,-3.614817
3/1/2019,3.333623
4/1/2019,9.349213
5/1/2019,6.508111
6/1/2019,-0.5719451
7/1/2019,-2.625408
8/1/2019,-3.153503
9/1/2019,-0.4110723
10/1/2019,0.0895465
11/1/2019,1.913195
12/1/2019,2.237263
1/1/2020,0.3842674
2/1/2020,-0.3757159
3/1/2020,-5.999522
4/1/2020,-13.42425
5/1/2020,-14.21877
6/1/2020,-4.169203
7/1/2020,7.650424
8/1/2020,13.2391
9/1/2020,10.7236
10/1/2020,7.751335
11/1/2020,3.406357
12/1/2020,3.908648
1/1/2021,6.971174
2/1/2021,12.49885
3/1/2021,16.35442
4/1/2021,19.29275
5/1/2021,21.6956
6/1/2021,25.38882
7/1/2021,23.69133
8/1/2021,18.21961
9/1/2021,9.61732
10/1/2021,13.75036
11/1/2021,18.56477
12/1/2021,20.69248
1/1/2022,14.83434677
2/1/2022,14.56039715
